Iteration,Learning Rate,Batch Size,Gamma,GAE Lambda,Mean Score
1,0.00025,64,0.99,0.95,[29.62]
2,0.00025,64,0.99,0.95,[28.64]
3,0.00025,64,0.99,0.95,[29.52]
4,0.00025,64,0.99,0.95,[28.16]
5,0.00025,64,0.99,0.95,[29.68]
6,0.00025,64,0.99,0.95,[27.86]
7,0.00025,64,0.99,0.95,[31.96]
8,0.00025,64,0.99,0.95,[23.6]
9,0.00025,64,0.99,0.95,[37.68]
10,0.00025,64,0.99,0.95,[31.7]
11,0.00025,64,0.99,0.95,[28.44]
12,0.00025,64,0.99,0.95,[25.54]
13,0.00025,64,0.99,0.95,[24.58]
14,0.00025,64,0.99,0.95,[26.3]
15,0.00025,64,0.99,0.95,[26.04]
16,0.00025,64,0.99,0.95,[35.02]
17,0.00025,64,0.99,0.95,[31.88]
18,0.00025,64,0.99,0.95,[30.58]
19,0.00025,64,0.99,0.95,[33.44]
20,0.00025,64,0.99,0.95,[27.44]
21,0.00025,64,0.99,0.95,[28.32]
22,0.00025,64,0.99,0.95,[31.]
23,0.00025,64,0.99,0.95,[28.54]
24,0.00025,64,0.99,0.95,[26.64]
25,0.00025,64,0.99,0.95,[28.56]
26,0.00025,64,0.99,0.95,[26.42]
27,0.00025,64,0.99,0.95,[22.7]
28,0.00025,64,0.99,0.95,[29.14]
29,0.00025,64,0.99,0.95,[27.9]
30,0.00025,64,0.99,0.95,[32.4]
31,0.00025,64,0.99,0.95,[28.16]
32,0.00025,64,0.99,0.95,[27.48]
33,0.00025,64,0.99,0.95,[31.5]
34,0.00025,64,0.99,0.95,[27.5]
35,0.00025,64,0.99,0.95,[25.76]
36,0.00025,64,0.99,0.95,[26.98]
37,0.00025,64,0.99,0.95,[28.24]
38,0.00025,64,0.99,0.95,[27.58]
39,0.00025,64,0.99,0.95,[27.74]
40,0.00025,64,0.99,0.95,[29.]
41,0.00025,64,0.99,0.95,[24.86]
42,0.00025,64,0.99,0.95,[30.74]
43,0.00025,64,0.99,0.95,[27.08]
44,0.00025,64,0.99,0.95,[27.9]
45,0.00025,64,0.99,0.95,[32.56]
46,0.00025,64,0.99,0.95,[29.64]
47,0.00025,64,0.99,0.95,[26.76]
48,0.00025,64,0.99,0.95,[27.44]
49,0.00025,64,0.99,0.95,[27.12]
50,0.00025,64,0.99,0.95,[33.62]
51,0.00025,64,0.99,0.95,[26.68]
52,0.00025,64,0.99,0.95,[28.76]
53,0.00025,64,0.99,0.95,[28.34]
54,0.00025,64,0.99,0.95,[31.98]
55,0.00025,64,0.99,0.95,[29.82]
56,0.00025,64,0.99,0.95,[25.68]
57,0.00025,64,0.99,0.95,[32.72]
58,0.00025,64,0.99,0.95,[36.26]
59,0.00025,64,0.99,0.95,[29.14]
60,0.00025,64,0.99,0.95,[27.16]
61,0.00025,64,0.99,0.95,[27.18]
62,0.00025,64,0.99,0.95,[32.7]
63,0.00025,64,0.99,0.95,[30.74]
64,0.00025,64,0.99,0.95,[27.14]
65,0.00025,64,0.99,0.95,[27.78]
66,0.00025,64,0.99,0.95,[26.12]
67,0.00025,64,0.99,0.95,[28.36]
68,0.00025,64,0.99,0.95,[27.04]
69,0.00025,64,0.99,0.95,[31.76]
70,0.00025,64,0.99,0.95,[24.94]
71,0.00025,64,0.99,0.95,[33.36]
72,0.00025,64,0.99,0.95,[24.8]
73,0.00025,64,0.99,0.95,[28.98]
74,0.00025,64,0.99,0.95,[27.74]
75,0.00025,64,0.99,0.95,[30.04]
76,0.00025,64,0.99,0.95,[28.54]
77,0.00025,64,0.99,0.95,[29.02]
78,0.00025,64,0.99,0.95,[29.12]
79,0.00025,64,0.99,0.95,[34.28]
80,0.00025,64,0.99,0.95,[28.]
81,0.00025,64,0.99,0.95,[30.7]
82,0.00025,64,0.99,0.95,[24.84]
83,0.00025,64,0.99,0.95,[27.38]
84,0.00025,64,0.99,0.95,[30.26]
85,0.00025,64,0.99,0.95,[29.04]
86,0.00025,64,0.99,0.95,[28.44]
87,0.00025,64,0.99,0.95,[28.78]
88,0.00025,64,0.99,0.95,[30.24]
89,0.00025,64,0.99,0.95,[25.06]
90,0.00025,64,0.99,0.95,[24.52]
91,0.00025,64,0.99,0.95,[34.76]
92,0.00025,64,0.99,0.95,[26.84]
93,0.00025,64,0.99,0.95,[28.56]
94,0.00025,64,0.99,0.95,[33.88]
95,0.00025,64,0.99,0.95,[29.86]
96,0.00025,64,0.99,0.95,[29.24]
97,0.00025,64,0.99,0.95,[28.44]
98,0.00025,64,0.99,0.95,[32.32]
99,0.00025,64,0.99,0.95,[26.88]
100,0.00025,64,0.99,0.95,[32.7]
101,0.00025,64,0.99,0.95,[33.34]
102,0.00025,64,0.99,0.95,[31.6]
103,0.00025,64,0.99,0.95,[27.38]
104,0.00025,64,0.99,0.95,[31.2]
105,0.00025,64,0.99,0.95,[29.68]
106,0.00025,64,0.99,0.95,[34.76]
107,0.00025,64,0.99,0.95,[30.14]
108,0.00025,64,0.99,0.95,[26.82]
109,0.00025,64,0.99,0.95,[33.96]
110,0.00025,64,0.99,0.95,[28.14]
111,0.00025,64,0.99,0.95,[31.04]
112,0.00025,64,0.99,0.95,[28.82]
113,0.00025,64,0.99,0.95,[24.48]
114,0.00025,64,0.99,0.95,[31.6]
115,0.00025,64,0.99,0.95,[26.44]
116,0.00025,64,0.99,0.95,[25.78]
117,0.00025,64,0.99,0.95,[29.64]
118,0.00025,64,0.99,0.95,[24.82]
119,0.00025,64,0.99,0.95,[32.32]
120,0.00025,64,0.99,0.95,[25.84]
121,0.00025,64,0.99,0.95,[31.46]
122,0.00025,64,0.99,0.95,[26.56]
123,0.00025,64,0.99,0.95,[29.28]
124,0.00025,64,0.99,0.95,[29.7]
125,0.00025,64,0.99,0.95,[32.22]
126,0.00025,64,0.99,0.95,[28.94]
127,0.00025,64,0.99,0.95,[27.02]
128,0.00025,64,0.99,0.95,[30.58]
129,0.00025,64,0.99,0.95,[26.36]
130,0.00025,64,0.99,0.95,[27.32]
131,0.00025,64,0.99,0.95,[28.32]
132,0.00025,64,0.99,0.95,[24.38]
133,0.00025,64,0.99,0.95,[25.7]
134,0.00025,64,0.99,0.95,[24.9]
135,0.00025,64,0.99,0.95,[28.06]
136,0.00025,64,0.99,0.95,[26.92]
