Iteration,Learning Rate,Batch Size,Gamma,GAE Lambda,N_steps,Mean Score
1,0.00025,64,0.99,0.95,3052,25.42
2,0.00025,64,0.99,0.95,1837,30.9
3,0.00025,64,0.99,0.95,2969,32.14
4,0.00025,64,0.99,0.95,3565,29.26
5,0.00025,64,0.99,0.95,1603,24.56
6,0.00025,64,0.99,0.95,3613,32.62
7,0.00025,64,0.99,0.95,2675,28.42
8,0.00025,64,0.99,0.95,3270,27.32
9,0.00025,64,0.99,0.95,1738,28.72
10,0.00025,64,0.99,0.95,1922,29.66
11,0.00025,64,0.99,0.95,2775,35.4
12,0.00025,64,0.99,0.95,1167,26.42
13,0.00025,64,0.99,0.95,1041,28.22
14,0.00025,64,0.99,0.95,1745,23.9
15,0.00025,64,0.99,0.95,2829,28.2
16,0.00025,64,0.99,0.95,2469,25.94
17,0.00025,64,0.99,0.95,2539,26
18,0.00025,64,0.99,0.95,646,27.34
19,0.00025,64,0.99,0.95,1842,26.06
20,0.00025,64,0.99,0.95,2583,26.94
21,0.00025,64,0.99,0.95,3494,35.32
22,0.00025,64,0.99,0.95,1261,31.04
23,0.00025,64,0.99,0.95,3100,26.78
24,0.00025,64,0.99,0.95,3399,27.96
25,0.00025,64,0.99,0.95,1926,27.88
26,0.00025,64,0.99,0.95,802,30.4
27,0.00025,64,0.99,0.95,3458,32.4
28,0.00025,64,0.99,0.95,2471,32.8
29,0.00025,64,0.99,0.95,610,24.52
30,0.00025,64,0.99,0.95,1685,27.62
31,0.00025,64,0.99,0.95,3819,35.1
32,0.00025,64,0.99,0.95,3265,25.46
33,0.00025,64,0.99,0.95,1687,29.92
34,0.00025,64,0.99,0.95,3164,36.74
35,0.00025,64,0.99,0.95,3853,29.92
36,0.00025,64,0.99,0.95,3783,31.72
37,0.00025,64,0.99,0.95,3086,28.84
38,0.00025,64,0.99,0.95,3647,26.34
39,0.00025,64,0.99,0.95,1660,29.72
40,0.00025,64,0.99,0.95,2697,29.8
41,0.00025,64,0.99,0.95,1721,26.1
42,0.00025,64,0.99,0.95,1283,26.78
43,0.00025,64,0.99,0.95,3551,32.5
44,0.00025,64,0.99,0.95,798,29.2
45,0.00025,64,0.99,0.95,3960,31.08
46,0.00025,64,0.99,0.95,3136,30.62
47,0.00025,64,0.99,0.95,1846,24.7
48,0.00025,64,0.99,0.95,1766,26.06
49,0.00025,64,0.99,0.95,2804,31.3
50,0.00025,64,0.99,0.95,1645,29.72
51,0.00025,64,0.99,0.95,2717,28.56
52,0.00025,64,0.99,0.95,1144,24.42
53,0.00025,64,0.99,0.95,1825,26.64
54,0.00025,64,0.99,0.95,732,24.82
55,0.00025,64,0.99,0.95,1119,26.64
56,0.00025,64,0.99,0.95,3828,26.02
57,0.00025,64,0.99,0.95,2592,32.84
58,0.00025,64,0.99,0.95,2230,26.36
59,0.00025,64,0.99,0.95,1750,24.44
60,0.00025,64,0.99,0.95,1521,30.26
61,0.00025,64,0.99,0.95,1515,30.1
62,0.00025,64,0.99,0.95,1934,27.54
63,0.00025,64,0.99,0.95,936,22.38
64,0.00025,64,0.99,0.95,1348,27.24
65,0.00025,64,0.99,0.95,3058,30.18
66,0.00025,64,0.99,0.95,2731,29.06
67,0.00025,64,0.99,0.95,1123,23.58
68,0.00025,64,0.99,0.95,1772,25.26
69,0.00025,64,0.99,0.95,2210,31.04
70,0.00025,64,0.99,0.95,1525,26.38
71,0.00025,64,0.99,0.95,581,24.74
72,0.00025,64,0.99,0.95,1353,27.36
73,0.00025,64,0.99,0.95,3092,28.04
74,0.00025,64,0.99,0.95,3438,31.82
75,0.00025,64,0.99,0.95,812,27.18
76,0.00025,64,0.99,0.95,2935,29.72
77,0.00025,64,0.99,0.95,2280,28
78,0.00025,64,0.99,0.95,1793,27.22
79,0.00025,64,0.99,0.95,1501,30.6
80,0.00025,64,0.99,0.95,544,26.54
81,0.00025,64,0.99,0.95,2302,29.98
