Iteration,Learning Rate,Batch Size,Gamma,GAE Lambda,Mean Score,Training Time
1,0.0097425814002767,97,0.9912580401039884,0.9453474806587092,135.64,9.871179103851318
2,0.001379124715348,73,0.9884453394603928,0.9509098018183902,500.0,11.274545907974243
3,0.0033091679210584,124,0.9345753338007587,0.9012061858402204,252.56,8.125727891921997
4,0.0021262873120889,117,0.9429500252150562,0.9832780154627576,262.7,7.995703458786011
5,0.0064085065358146,67,0.9294563647971672,0.9587615950898348,241.18,10.189870119094849
6,0.0035018852048079,116,0.9077510817315512,0.9176617953483214,251.12,7.710467338562012
7,0.0045995881689766,85,0.940097130654422,0.9798854364827402,472.64,8.269283056259155
8,0.0062361889842516,120,0.9383103749565808,0.9376325623899812,192.22,7.7574872970581055
9,0.00243930477106,98,0.9609064860658332,0.9323447658670264,257.1,8.313737630844116
10,0.0026748967262691,74,0.939088765240828,0.9026412210775264,268.18,8.9150710105896
11,0.0085806606560715,95,0.9095512571678184,0.9463905839243664,238.54,8.295429468154907
12,0.0023781741507494,67,0.9275183811522322,0.9364894822360734,358.26,9.178205251693726
13,0.0023195402804566,98,0.9378606004211676,0.9453610685712118,157.16,8.236069917678833
14,0.0029490319229909,118,0.9108526830163892,0.9552078019446812,163.14,7.785051584243774
15,0.0013464059859044,82,0.992010565491561,0.9539271160098314,500.0,8.750414609909058
16,0.006858291612563,66,0.9559560241866152,0.9789194155133226,200.16,9.057374477386476
17,0.001812930514311,119,0.903833831635931,0.9111247099898756,235.02,7.802160978317261
18,0.0034708373268722,71,0.9872937881234872,0.9747674494641924,179.72,9.351192474365234
19,0.0076048134973639,118,0.9326897560941856,0.9805364965378374,320.48,7.792202711105347
20,0.0001208484016566,90,0.9947622469590542,0.9789595928435638,153.98,8.156630039215088
21,0.0001164972705392,107,0.9416378552694704,0.9768977882750268,218.02,7.886982202529907
22,0.004098170892024,104,0.9914508006850046,0.9394670160918808,500.0,7.874482154846191
23,0.0090984011034141,98,0.9153194930073242,0.9055791836739738,123.38,8.931544780731201
24,0.0033242038732856,125,0.9784852648732552,0.9944250160443072,500.0,8.887462854385376
25,0.0077162256774539,89,0.9428361853304976,0.9608789421782264,244.82,11.66746950149536
26,0.008779366092084,99,0.9233420868201094,0.9536392618762466,156.74,9.069869995117188
27,0.0082372313978772,74,0.9257360494072188,0.9981376719536658,289.92,9.807859182357788
28,0.003778502688382,68,0.931875762834336,0.973644891295925,297.7,10.212757349014282
29,0.0012863268957174,79,0.94378022613017,0.9884818258389092,422.04,10.263838052749634
30,0.0081296062747587,64,0.9897611351376768,0.9260613065836372,500.0,10.34929370880127
31,0.0027528230812005,126,0.97798203083752,0.9273397525648108,376.68,8.080379724502563
32,0.0060600579409674,104,0.9872392421613682,0.9838554599058656,361.42,9.150598764419556
33,0.0003635189359882,65,0.9242387502733852,0.9189742557130128,267.2,10.53223180770874
34,0.0075859454251943,110,0.953968504410572,0.911703809517498,156.42,8.847183465957642
35,0.0006385688704749,123,0.9868823491598916,0.9663170290334232,214.52,8.689556360244751
36,0.0051590227023277,105,0.9821471752916884,0.962035937029882,498.8,9.224339485168455
37,0.0021588418710593,78,0.946026362366676,0.9961778538489908,228.32,10.006191492080688
38,0.0039246600783741,125,0.9305857689460272,0.9238492961727904,500.0,8.382822513580322
39,0.0069313899663314,84,0.9193351307801072,0.9467425435197316,162.86,9.69904923439026
40,0.0035724968214648,114,0.964780756661168,0.951816864092517,370.64,9.237345457077026
41,0.002311067766767,106,0.9646924398484872,0.9392680322392596,373.96,9.236990690231323
42,0.0099565626782646,110,0.9330067306616354,0.917494513778126,345.14,9.386091470718384
43,0.005482819138619,67,0.9964036135199432,0.906269724385385,500.0,10.575689792633057
44,0.0091040192169518,116,0.9070313649138704,0.947019294271068,295.52,9.017650604248049
45,0.002900514328139,110,0.914804024746401,0.9232073918344732,484.74,8.655634641647339
46,0.0057779618235516,79,0.9496464710549596,0.9787351932502892,270.72,10.198540925979614
47,0.0030659067401773,65,0.9207152151305176,0.9134637373314908,484.58,10.420889616012571
48,0.009004986215857,117,0.9439674969178068,0.9987028062214875,277.64,9.379167795181274
49,0.0072336290453861,88,0.9007866885737812,0.9317758848200411,273.92,9.21280574798584
50,0.0055386065332425,78,0.915003681367485,0.9315837362211992,148.6,9.974300861358644
51,0.0039213402049182,104,0.9380772262595422,0.9371675288011332,278.66,8.352784395217896
52,0.0032932691557489,105,0.953315003265922,0.9109750887084176,500.0,8.822966814041138
53,0.0005736153560815,119,0.9383048433115496,0.9507569992337592,475.18,8.910402536392212
