Iteration,Learning Rate,Batch Size,Gamma,GAE Lambda,Mean Score
1,0.00025,64,0.99,0.9052929526404916,[29.76]
2,0.00025,64,0.99,0.973499849777112,[29.62]
3,0.00025,64,0.99,0.9020675455187616,[26.06]
4,0.00025,64,0.99,0.9579935253594348,[29.94]
5,0.00025,64,0.99,0.970248289080407,[31.18]
6,0.00025,64,0.99,0.8741329772796215,[37.26]
7,0.00025,64,0.99,0.9782897152285832,[28.64]
8,0.00025,64,0.99,0.9891854829062443,[25.3]
9,0.00025,64,0.99,0.9127819779984448,[27.32]
10,0.00025,64,0.99,0.9679501297794717,[28.22]
11,0.00025,64,0.99,0.8756741683654317,[29.16]
12,0.00025,64,0.99,0.869696411737102,[25.78]
13,0.00025,64,0.99,0.9457651590521075,[29.1]
14,0.00025,64,0.99,0.9654188929059472,[28.06]
15,0.00025,64,0.99,0.9797144078333947,[24.88]
16,0.00025,64,0.99,0.9339410318397339,[30.76]
17,0.00025,64,0.99,0.9526846863656385,[25.84]
18,0.00025,64,0.99,0.9668763911977484,[31.2]
19,0.00025,64,0.99,0.8707679031978012,[29.6]
20,0.00025,64,0.99,0.976999872490522,[27.7]
21,0.00025,64,0.99,0.8946668722875958,[25.62]
22,0.00025,64,0.99,0.9017599428964944,[26.9]
23,0.00025,64,0.99,0.8574961712900977,[28.38]
24,0.00025,64,0.99,0.9877503549561828,[27.14]
25,0.00025,64,0.99,0.8681277248245828,[28.72]
26,0.00025,64,0.99,0.9153667122234747,[29.24]
27,0.00025,64,0.99,0.8652550226521375,[26.08]
28,0.00025,64,0.99,0.9797631018419131,[25.94]
29,0.00025,64,0.99,0.9694441560557916,[28.]
30,0.00025,64,0.99,0.9724325414540732,[28.18]
31,0.00025,64,0.99,0.8779610559805014,[30.14]
32,0.00025,64,0.99,0.9866309291113322,[26.1]
33,0.00025,64,0.99,0.9048372110218729,[25.82]
34,0.00025,64,0.99,0.9002198356999562,[29.58]
35,0.00025,64,0.99,0.8533213852311937,[28.3]
36,0.00025,64,0.99,0.989261713230123,[28.28]
37,0.00025,64,0.99,0.8692798946178455,[26.5]
