Environment,Episodes of training,Algorithm Name,Training time,Mean Score,Standard Deviation,Score adjusted
Acrobot,10000,PPO,8.361,-485.8,28.4,
Acrobot,10000,TD3,,,,
Acrobot,10000,DDPG,,,,
Acrobot,10000,A2C,10.522,-500,0,
Acrobot,10000,SAC,,,,
Acrobot,10000,DQN,1.369,-500,0,
Acrobot,20000,PPO,14.461,-112.4,10.287857,
Acrobot,20000,TD3,,,,
Acrobot,20000,DDPG,,,,
Acrobot,20000,A2C,17.401,-78.9,4.915,
Acrobot,20000,SAC,,,,
Acrobot,20000,DQN,2.629,-500,0,
Acrobot,50000,PPO,36.282,-96,35.883144,
Acrobot,50000,TD3,,,,
Acrobot,50000,DDPG,,,,
Acrobot,50000,A2C,43.564,-86.4,5.986652,
Acrobot,50000,SAC,,,,
Acrobot,50000,DQN,6.664,-500,0,
Acrobot,100000,PPO,75.639,-87.2,15.341448,
Acrobot,100000,TD3,,,,
Acrobot,100000,DDPG,,,,
Acrobot,100000,A2C,98.01,-78,6.9570107,
Acrobot,100000,SAC,,,,
Acrobot,100000,DQN,38.454,-319.4,111.14243,
Acrobot,500000,PPO,363.779,-80,12.280066,
Acrobot,500000,TD3,,,,
Acrobot,500000,DDPG,,,,
Acrobot,500000,A2C,441.76,-500,0,
Acrobot,500000,SAC,,,,
Acrobot,500000,DQN,283.282,-292,110.60018,
Acrobot,1000000,PPO,745.305,-75.2,11.889491,
Acrobot,1000000,TD3,,,,
Acrobot,1000000,DDPG,,,,
Acrobot,1000000,A2C,907.112,-100.6,20.538744,
Acrobot,1000000,SAC,,,,
Acrobot,1000000,DQN,575.46,-143,49.66286,
Acrobot,10000000,PPO,7092.319,-65.4,8.333066,
Bipedal Walker,10000,PPO,9.513,-111.4835,3.8835428,
Bipedal Walker,10000,TD3,63.943,-112.704445,1.3269101,
Bipedal Walker,10000,DDPG,62.789,-119.42415,7.571978,
Bipedal Walker,10000,A2C,11.85,-103.122986,4.033402,
Bipedal Walker,10000,SAC,104.294,-104.836624,8.900319,
Bipedal Walker,10000,DQN,,,,
Bipedal Walker,20000,PPO,18.294,102.3669,13.998786,
