algorithm.__name__,number_of_episodes,elapsed_time_sec,power_consumption
A2C,154446,165.560137,1699.98475
A2C,22178,25.04841733,1750.015375
A2C,662171,714.2477143,1699.991875
A2C,344506,373.8722408,1700.120375
A2C,41162,46.28328323,1700.083875
A2C,283219,311.3975101,1700.114375
A2C,671135,727.8886232,1750.0435
A2C,882010,948.5201733,1700.017625
A2C,628002,672.682899,1747.228375
A2C,469478,507.6868341,1750.025125
A2C,748464,820.9941106,1750.109375
A2C,10266,12.29369855,1700.04725
A2C,929433,1019.557319,1750.02575
A2C,434447,468.206835,1750.022625
A2C,939446,1001.557534,1750.024625
A2C,47241,50.40729356,1750.000125
A2C,274026,297.7311385,1726.838
A2C,411371,443.0843279,1750.02475
A2C,791389,858.3121691,1700.06525
A2C,669876,715.6191773,1750.05
A2C,997048,1096.120182,1700.007625
A2C,109915,121.8868327,1700.098125
A2C,891539,971.8651578,1700.09425
A2C,451271,482.8252232,1700.022625
A2C,663079,711.7971685,1750.014125
A2C,560670,601.1137142,1699.99975
A2C,365335,399.788631,1700.053125
A2C,885958,964.9218721,1700.079875
A2C,679953,731.0695961,1700.145125
A2C,243097,259.0759408,1750.019375
A2C,45059,49.10819101,1750.026375
A2C,92323,102.5659459,1699.991875
A2C,370063,399.4731753,1750.01225
A2C,412658,445.4681664,1700.150125
A2C,848680,922.6441877,1750.086375
A2C,33172,36.29171801,1700.125375
A2C,938307,1014.893737,1750.0155
A2C,415510,456.0533066,1700.075375
A2C,422473,465.0200527,1700.043875
A2C,254007,279.2308569,1700.118625
A2C,998069,1094.813461,1825.696
A2C,994951,1086.199606,1750.0185
A2C,240678,262.2661648,1850.012625
A2C,780525,839.6002915,1750.010375
A2C,321074,341.9659176,1717.18
A2C,878283,940.9256077,1700.120625
A2C,147021,158.7448986,1750.08925
A2C,632470,676.8775454,1750.0265
A2C,950313,1016.889008,1750.086125
A2C,342371,365.3656557,1750.11925
A2C,819820,877.1039982,1750.08825
A2C,240034,257.9081781,1750.1235
A2C,706913,767.4856086,1750.0885
A2C,554927,599.1811771,1750.107375
A2C,553693,594.3547451,1831.7295
A2C,735915,773.7409544,1750.010875
A2C,992934,1049.221506,1774.921625
A2C,945002,1005.321976,1779.458625
A2C,407986,433.376353,1750.127125
A2C,264766,281.1798031,1712.284375
A2C,226046,240.5107782,1750.098625
A2C,377494,403.3734443,1800.000125
A2C,308648,326.1519141,1700
A2C,840453,895.3593452,1750.043875
A2C,258967,270.6569216,1750
A2C,102141,109.5126193,1750.0855
A2C,909538,959.049731,1750.133875
A2C,251427,265.9158883,1750.1285
A2C,684579,725.8480117,1758.324375
A2C,301569,320.9878097,1750.1005
A2C,348186,368.2447903,1750.024375
A2C,200454,212.6534677,1615.8485
A2C,435571,472.1989636,1744.33275
A2C,586186,623.3752704,1750.070125
A2C,744251,781.401963,1733.866375
A2C,484612,514.2066963,1726.009875
A2C,169711,181.3385279,1750.01075
A2C,931142,1006.026769,1700
A2C,868170,923.8129551,1700.04875
A2C,606849,637.6730142,1715.003625
A2C,711934,744.5476944,1749.99975
A2C,489519,518.8937874,1750.11075
A2C,976340,1024.287951,1750.0245
A2C,73777,77.75438523,1749.99975
A2C,662650,705.1697526,1750.128375
A2C,574245,615.5847943,1750.123375
A2C,400531,427.6723127,1750.02925
A2C,335765,359.0729127,1700.000125
A2C,838517,908.3924687,1750.018125
A2C,799533,848.9644783,1700.042125
A2C,485002,526.1013014,1700.10025
A2C,214712,232.6627603,1724.128375
A2C,45365,49.07905912,1750.034625
A2C,582173,634.1997519,1700.134125
A2C,510463,554.0259643,1700.095375
A2C,940681,1031.218085,1700.02325
A2C,610445,661.965749,1700.141125
A2C,942610,1027.952742,1750.09
A2C,804189,876.1096051,1800
A2C,520608,566.7007692,1700.00975
A2C,687601,746.3366151,1650.01775
A2C,480360,532.2394998,1700.0275
A2C,70282,78.8765986,1700.02775
A2C,422077,466.7885044,1712.750375
A2C,487948,534.4336066,1700.00025
A2C,813454,884.56481,1750.1255
A2C,316006,335.8731034,1750.015375
A2C,594725,627.43262,1750.0115
A2C,123186,132.9852502,1750.126375
