Environment,Episodes of training,Algorithm Name,Training time,Mean Score,Standard Deviation,Score adjusted,training time * wattage,kilowatt hours
Acrobot,10000.0,PPO,8.361,-485.8,28.4,,15674.726745562502,0.00435409076265625
Acrobot,10000.0,TD3,,,,,,
Acrobot,10000.0,DDPG,,,,,,
Acrobot,10000.0,A2C,10.522,-500.0,0.0,,17996.35034127778,0.004998986205910494
Acrobot,10000.0,SAC,,,,,,
Acrobot,10000.0,DQN,1.369,-500.0,0.0,,2333.318133834771,0.0006481439260652141
Acrobot,20000.0,PPO,14.461,-112.4,10.287857,,27110.659426812505,0.00753073872967014
Acrobot,20000.0,TD3,,,,,,
Acrobot,20000.0,DDPG,,,,,,
Acrobot,20000.0,A2C,17.401,-78.9,4.915,,29761.879137861113,0.008267188649405864
Acrobot,20000.0,SAC,,,,,,
Acrobot,20000.0,DQN,2.629,-500.0,0.0,,4480.857102886495,0.001244682528579582
Acrobot,50000.0,PPO,36.282,-96.0,35.883144,,68019.427793625,0.018894285498229167
Acrobot,50000.0,TD3,,,,,,
Acrobot,50000.0,DDPG,,,,,,
Acrobot,50000.0,A2C,43.564,-86.4,5.986652,,74509.88464811112,0.02069719018003087
Acrobot,50000.0,SAC,,,,,,
Acrobot,50000.0,DQN,6.664,-500.0,0.0,,11358.094991873566,0.0031550263866315462
Acrobot,100000.0,PPO,75.639,-87.2,15.341448,,141803.69050443752,0.039389914029010424
Acrobot,100000.0,TD3,,,,,,
Acrobot,100000.0,DDPG,,,,,,
Acrobot,100000.0,A2C,98.01,-78.0,6.9570107,,167631.84726750004,0.04656440201875001
Acrobot,100000.0,SAC,,,,,,
Acrobot,100000.0,DQN,38.454,-319.4,111.14243,,65540.84406025002,0.018205790016736115
Acrobot,500000.0,PPO,363.779,-80.0,12.280066,,681992.1565331876,0.1894422657036632
Acrobot,500000.0,TD3,,,,,,
Acrobot,500000.0,DDPG,,,,,,
Acrobot,500000.0,A2C,441.76,-500.0,0.0,,755566.2161911112,0.2098795044975309
Acrobot,500000.0,SAC,,,,,,
Acrobot,500000.0,DQN,283.282,-292.0,110.60018,,482824.70970707195,0.1341179749186311
Acrobot,1000000.0,PPO,745.305,-75.2,11.889491,,1397255.3781965626,0.38812649394348964
Acrobot,1000000.0,TD3,,,,,,
Acrobot,1000000.0,DDPG,,,,,,
Acrobot,1000000.0,A2C,907.112,-100.6,20.538744,,1551483.1164015557,0.4309675323337655
Acrobot,1000000.0,SAC,,,,,,
Acrobot,1000000.0,DQN,575.46,-143.0,49.66286,,980811.7262940521,0.2724477017483478
Acrobot,10000000.0,PPO,7092.319,-65.4,8.333066,,13296275.842286939,3.6934099561908162
Bipedal Walker,10000.0,PPO,9.513,-111.4835,3.8835428,,17834.4307535625,0.00495400854265625
Bipedal Walker,10000.0,TD3,63.943,-112.704445,1.3269101,,100940.78404673212,0.02803910667964781
Bipedal Walker,10000.0,DDPG,62.789,-119.42415,7.571978,,99420.7618845,0.027616878301249998
Bipedal Walker,10000.0,A2C,11.85,-103.122986,4.033402,,20267.70115416667,0.005629916987268519
Bipedal Walker,10000.0,SAC,104.294,-104.836624,8.900319,,166874.42835575,0.04635400787659722
Bipedal Walker,10000.0,DQN,,,,,,
Bipedal Walker,20000.0,PPO,18.294,102.3669,13.998786,,34296.549585375,0.009526819329270835
Bipedal Walker,20000.0,TD3,127.915,-108.44548,9.176668,,201927.3476586607,0.05609092990518353
Bipedal Walker,20000.0,DDPG,134.839,-115.534035,1.0513079,,213505.4884095,0.059307080113749994
Bipedal Walker,20000.0,A2C,20.525,-122.843,15.067,,35105.02668263889,0.009751396300733026
Bipedal Walker,20000.0,SAC,212.496,-106.488235,1.7181516,,340001.807658,0.09444494657166666
Bipedal Walker,20000.0,DQN,,,,,,
Bipedal Walker,50000.0,PPO,43.503,-79.44371,4.41768,,81556.9474479375,0.022654707624427086
Bipedal Walker,50000.0,TD3,316.27,-100.35048,9.323173,,499265.6236094642,0.13868489544707338
Bipedal Walker,50000.0,DDPG,321.621,-177.4593,0.05677439,,509258.06842049997,0.14146057456125
Bipedal Walker,50000.0,A2C,52.863,-115.42018,13.721098,,90414.47140191667,0.025115130944976853
Bipedal Walker,50000.0,SAC,547.723,-69.49937,26.774286,,876377.9558008749,0.24343832105579857
Bipedal Walker,50000.0,DQN,,,,,,
Bipedal Walker,100000.0,PPO,85.42,-46.413807,76.49699,,160140.55239875,0.04448348677743056
Bipedal Walker,100000.0,TD3,629.456,-173.91507,0.2685722,,993662.8272511428,0.27601745201420635
Bipedal Walker,100000.0,DDPG,704.908,-147.45622,14.821654,,1116158.728734,0.310044091315
Bipedal Walker,100000.0,A2C,106.876,-114.124756,4.3995395,,182795.85051077782,0.05077662514188273
Bipedal Walker,100000.0,SAC,1057.071,-57.160896,3.081331,,1691354.4293673749,0.4698206748242708
Bipedal Walker,100000.0,DQN,,,,,,
Bipedal Walker,500000.0,PPO,431.475,185.91707,149.36203,,808904.7628921876,0.2246957674700521
Bipedal Walker,500000.0,TD3,3826.554,-46.24459,5.6881633,,6040619.942091535,1.6779499839143153
Bipedal Walker,500000.0,DDPG,3615.737,264.29364,1.1356287,,5725195.9310385,1.59033220306625
