learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef,epsilon,mean_reward,training_time,std_reward
0.01,512,64,0.9,0.85,0.1,0.001,1E-07,500,2.14667868614197,0
0.01,512,64,0.95,0.95,0.1,0,1E-07,500,2.30588698387146,0
0.01,512,64,0.95,0.95,0.2,0.001,1E-06,500,2.4252450466156,0
0.01,512,64,0.95,0.9,0.2,0.1,1E-07,500,2.57419991493225,0
0.01,512,64,0.99,0.95,0.3,0,1E-05,500,2.22324442863464,0
0.01,512,64,0.99,0.95,0.3,0.1,1E-07,500,2.26842331886291,0
0.01,512,64,0.99,0.95,0.5,0.1,1E-07,500,2.49319577217102,0
0.01,512,64,0.999,0.9,0.3,0.001,1E-05,500,2.50377655029297,0
0.01,512,64,0.999,0.9,0.4,0.01,1E-06,500,2.34888601303101,0
0.01,512,128,0.95,0.95,0.4,0,1E-05,500,1.94911432266235,0
0.01,512,128,0.95,0.95,0.5,0.01,1E-05,500,1.86880159378052,0
0.01,512,128,0.95,0.9,0.1,0.01,1E-06,500,1.83505177497864,0
0.01,512,128,0.99,0.95,0.1,0.001,1E-07,500,1.87482953071594,0
0.01,512,128,0.99,0.95,0.4,0.01,1E-07,500,1.91786766052246,0
0.01,512,128,0.99,0.9,0.3,0.01,1E-07,500,1.74734282493591,0
0.01,512,128,0.999,0.95,0.2,0.01,1E-05,500,2.35605645179749,0
0.01,512,128,0.999,0.9,0.4,0.1,1E-05,500,2.47648048400879,0
0.01,512,128,0.999,0.9,0.5,0.001,1E-06,500,2.61937093734741,0
0.001,512,64,0.99,0.95,0.5,0,1E-06,500,3.37268114089966,0
0.001,512,64,0.999,0.95,0.3,0.1,1E-06,500,3.19833517074585,0
0.001,512,64,0.999,0.95,0.5,0.1,1E-07,500,2.99720573425293,0
0.001,512,64,0.999,0.95,0.5,0.01,1E-06,500,3.13035440444946,0
