Learning Rate,N_steps,Batch Size,Gamma,gae_lambda,Clip Range,ent_coef,epsilon,Mean Score,training_time,standard deviation
0.99,512,64,0.9,0.95,0.1,0,1E-05,9.6,5.3869936466217,0.8
0.99,512,64,0.9,0.95,0.1,0,1E-06,8.8,5.57335734367371,0.6
0.99,512,64,0.9,0.95,0.1,0,1E-07,9.3,4.96808648109436,0.640312423743285
0.99,512,64,0.9,0.95,0.1,0.1,1E-05,9.2,5.13758182525635,0.871779788708135
0.99,512,64,0.9,0.95,0.1,0.1,1E-06,9.2,5.18764472007751,0.748331477354788
0.99,512,64,0.9,0.95,0.1,0.1,1E-07,9.5,4.49120211601257,0.670820393249937
0.99,512,64,0.9,0.95,0.1,0.01,1E-05,9.2,5.1206386089325,0.871779788708135
0.99,512,64,0.9,0.95,0.1,0.01,1E-06,9.4,6.08387732505798,0.66332495807108
0.99,512,64,0.9,0.95,0.1,0.01,1E-07,9.4,5.36682677268982,0.66332495807108
0.99,512,64,0.9,0.95,0.1,0.001,1E-05,9.1,5.77001619338989,0.7
0.99,512,64,0.9,0.95,0.1,0.001,1E-06,9.2,5.62906074523926,0.748331477354788
0.99,512,64,0.9,0.95,0.1,0.001,1E-07,9.9,6.83063673973084,0.94339811320566
0.99,512,64,0.9,0.95,0.2,0,1E-05,9.8,7.38672471046448,0.4
0.99,512,64,0.9,0.95,0.2,0,1E-06,9.2,7.06437277793884,0.6
0.99,512,64,0.9,0.95,0.2,0,1E-07,9.7,8.75578284263611,0.781024967590665
0.99,512,64,0.9,0.95,0.2,0.1,1E-05,19.1,9.38074469566345,2.84429253066558
0.99,512,64,0.9,0.95,0.2,0.1,1E-06,9.3,9.48241829872131,0.781024967590666
0.99,512,64,0.9,0.95,0.2,0.1,1E-07,9.4,9.07735919952393,0.489897948556636
0.99,512,64,0.9,0.95,0.2,0.01,1E-05,9.4,9.87089323997498,0.489897948556636
0.99,512,64,0.9,0.95,0.2,0.01,1E-06,9.3,9.36441397666931,0.640312423743285
0.99,512,64,0.9,0.95,0.2,0.01,1E-07,9.3,7.52284789085388,0.781024967590666
0.99,512,64,0.9,0.95,0.2,0.001,1E-05,12.2,6.95484948158264,1.0770329614269
0.99,512,64,0.9,0.95,0.2,0.001,1E-06,9.1,6.84665966033936,0.7
0.99,512,64,0.9,0.95,0.2,0.001,1E-07,9,6.25517129898071,0.632455532033676
0.99,512,64,0.9,0.95,0.3,0,1E-05,8.9,5.4458441734314,0.3
0.99,512,64,0.9,0.95,0.3,0,1E-06,9.4,6.00436401367188,0.66332495807108
0.99,512,64,0.9,0.95,0.3,0,1E-07,9.3,6.40708827972412,0.9
0.99,512,64,0.9,0.95,0.3,0.1,1E-05,8.8,7.08000135421753,0.748331477354788
0.99,512,64,0.9,0.95,0.3,0.1,1E-06,9.2,7.93674969673157,0.871779788708135
0.99,512,64,0.9,0.95,0.3,0.1,1E-07,9,7.9223062992096,0.632455532033676
0.99,512,64,0.9,0.95,0.3,0.01,1E-05,9.4,7.84755921363831,0.489897948556636
0.99,512,64,0.9,0.95,0.3,0.01,1E-06,9.1,8.47869729995728,0.7
0.99,512,64,0.9,0.95,0.3,0.01,1E-07,9.2,8.35371947288513,0.748331477354788
0.99,512,64,0.9,0.95,0.3,0.001,1E-05,9.2,8.40201449394226,0.6
0.99,512,64,0.9,0.95,0.3,0.001,1E-06,9.7,8.4600625038147,0.640312423743285
0.99,512,64,0.9,0.95,0.3,0.001,1E-07,9,8.72321653366089,0.774596669241483
0.99,512,64,0.9,0.95,0.4,0,1E-05,9.5,8.56782269477844,0.806225774829855
0.99,512,64,0.9,0.95,0.4,0,1E-06,9.2,8.64042854309082,0.979795897113271
0.99,512,64,0.9,0.95,0.4,0,1E-07,9.2,8.57465028762817,0.979795897113271
0.99,512,64,0.9,0.95,0.4,0.1,1E-05,9.5,8.61367392539978,0.5
0.99,512,64,0.9,0.95,0.4,0.1,1E-06,9.8,8.65490555763245,0.4
0.99,512,64,0.9,0.95,0.4,0.1,1E-07,9,8.71609497070313,0.632455532033676
0.99,512,64,0.9,0.95,0.4,0.01,1E-05,9.3,8.76093578338623,0.781024967590666
0.99,512,64,0.9,0.95,0.4,0.01,1E-06,9.4,8.88275265693665,0.8
0.99,512,64,0.9,0.95,0.4,0.01,1E-07,55.3,8.65832328796387,29.7154841791279
0.99,512,64,0.9,0.95,0.4,0.001,1E-05,9.4,8.51628684997559,0.66332495807108
0.99,512,64,0.9,0.95,0.4,0.001,1E-06,9.4,8.72645473480225,0.8
0.99,512,64,0.9,0.95,0.4,0.001,1E-07,9.5,8.82389664649963,0.806225774829855
