learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef,epsilon,mean_reward,training_time,std_reward
0.1,512,64,0.95,0.95,0.2,0,1E-05,500,6.40995121002197,0
0.1,512,128,0.9,0.95,0.2,0.01,1E-07,500,5.22779297828674,0
0.1,512,128,0.95,0.95,0.3,0.01,1E-06,500,4.96787595748901,0
0.01,512,64,0.9,0.95,0.1,0,1E-06,500,6.71876311302185,0
0.01,512,64,0.9,0.95,0.1,0.1,1E-06,500,6.40185403823853,0
0.01,512,64,0.9,0.95,0.2,0.01,1E-05,500,6.39257073402405,0
0.01,512,64,0.9,0.95,0.2,0.001,1E-07,500,6.25544047355652,0
0.01,512,64,0.9,0.95,0.3,0.1,1E-06,500,6.22374844551086,0
0.01,512,64,0.9,0.95,0.4,0,1E-06,500,6.18828010559082,0
0.01,512,64,0.9,0.9,0.1,0.01,1E-05,500,6.06433725357056,0
0.01,512,64,0.9,0.9,0.3,0.01,1E-06,500,6.20380926132202,0
0.01,512,64,0.9,0.9,0.3,0.01,1E-07,500,6.08580446243286,0
0.01,512,64,0.9,0.9,0.5,0.001,1E-06,500,6.78199219703674,0
0.01,512,64,0.9,0.85,0.1,0.001,1E-07,500,6.25177597999573,0
0.01,512,64,0.9,0.85,0.2,0.1,1E-07,500,6.38909339904785,0
0.01,512,64,0.9,0.85,0.3,0.1,1E-06,500,6.35766887664795,0
0.01,512,64,0.95,0.95,0.1,0,1E-07,500,6.40091562271118,0
0.01,512,64,0.95,0.95,0.2,0,1E-07,500,6.37654614448547,0
0.01,512,64,0.95,0.95,0.2,0.001,1E-06,500,6.47650218009949,0
0.01,512,64,0.95,0.95,0.3,0,1E-05,500,6.198810338974,0
0.01,512,64,0.95,0.95,0.3,0,1E-06,500,6.21661067008972,0
0.01,512,64,0.95,0.95,0.4,0.01,1E-07,500,6.36911034584045,0
0.01,512,64,0.95,0.95,0.4,0.001,1E-06,500,6.25394654273987,0
0.01,512,64,0.95,0.95,0.4,0.001,1E-07,500,6.0351893901825,0
0.01,512,64,0.95,0.95,0.5,0.01,1E-06,500,6.26826286315918,0
0.01,512,64,0.95,0.9,0.2,0.1,1E-07,500,6.3074254989624,0
0.01,512,64,0.95,0.85,0.4,0.1,1E-07,500,6.56857395172119,0
0.01,512,64,0.95,0.85,0.5,0.1,1E-06,500,6.37994647026062,0
0.01,512,64,0.99,0.95,0.1,0.1,1E-06,500,6.01752471923828,0
0.01,512,64,0.99,0.95,0.1,0.01,1E-06,500,6.36650061607361,0
0.01,512,64,0.99,0.95,0.2,0.001,1E-05,500,6.32790660858154,0
0.01,512,64,0.99,0.95,0.2,0.001,1E-07,500,6.22990727424622,0
0.01,512,64,0.99,0.95,0.3,0,1E-05,500,6.86634182929993,0
0.01,512,64,0.99,0.95,0.3,0.1,1E-07,500,6.38404154777527,0
0.01,512,64,0.99,0.95,0.3,0.01,1E-05,500,6.28040814399719,0
0.01,512,64,0.99,0.95,0.3,0.001,1E-06,500,6.45244574546814,0
0.01,512,64,0.99,0.95,0.4,0.1,1E-05,500,6.06159639358521,0
0.01,512,64,0.99,0.95,0.4,0.1,1E-06,500,7.03372597694397,0
0.01,512,64,0.99,0.95,0.4,0.1,1E-07,500,6.25781989097595,0
0.01,512,64,0.99,0.95,0.4,0.001,1E-06,500,6.69363617897034,0
0.01,512,64,0.99,0.95,0.5,0,1E-06,500,6.76843118667603,0
0.01,512,64,0.99,0.95,0.5,0.1,1E-07,500,6.21616506576538,0
0.01,512,64,0.99,0.9,0.1,0.1,1E-05,500,6.61893391609192,0
0.01,512,64,0.99,0.9,0.1,0.01,1E-05,500,6.19652009010315,0
0.01,512,64,0.99,0.9,0.1,0.001,1E-06,500,6.37152791023254,0
0.01,512,64,0.99,0.9,0.2,0,1E-05,500,6.62000513076782,0
0.01,512,64,0.99,0.9,0.2,0.1,1E-06,500,6.31580018997192,0
0.01,512,64,0.99,0.9,0.2,0.01,1E-06,500,6.24163103103638,0
0.01,512,64,0.99,0.9,0.3,0.001,1E-07,500,6.2602915763855,0
0.01,512,64,0.99,0.85,0.1,0.1,1E-07,500,6.58240842819214,0
0.01,512,64,0.99,0.85,0.1,0.01,1E-07,500,6.4042592048645,0
0.01,512,64,0.99,0.85,0.3,0.1,1E-06,500,6.77308464050293,0
0.01,512,64,0.99,0.85,0.3,0.001,1E-05,500,6.2974328994751,0
0.01,512,64,0.999,0.95,0.1,0.1,1E-05,500,6.45984292030335,0
0.01,512,64,0.999,0.95,0.1,0.1,1E-07,500,6.33172416687012,0
0.01,512,64,0.999,0.95,0.1,0.01,1E-06,500,6.12216520309448,0
0.01,512,64,0.999,0.95,0.2,0,1E-07,500,6.33982181549072,0
0.01,512,64,0.999,0.95,0.2,0.01,1E-05,500,6.29330492019653,0
0.01,512,64,0.999,0.95,0.2,0.001,1E-05,500,6.26135110855103,0
0.01,512,64,0.999,0.95,0.2,0.001,1E-07,500,6.27174234390259,0
0.01,512,64,0.999,0.95,0.3,0,1E-05,500,6.13326072692871,0
0.01,512,64,0.999,0.95,0.4,0,1E-06,500,6.59810161590576,0
0.01,512,64,0.999,0.95,0.5,0,1E-05,500,6.35136604309082,0
0.01,512,64,0.999,0.95,0.5,0,1E-06,500,6.06762623786926,0
0.01,512,64,0.999,0.95,0.5,0,1E-07,500,6.16674423217773,0
0.01,512,64,0.999,0.95,0.5,0.001,1E-06,500,6.4020311832428,0
0.01,512,64,0.999,0.9,0.1,0.1,1E-06,500,6.28200173377991,0
0.01,512,64,0.999,0.9,0.2,0,1E-06,500,7.21047377586365,0
0.01,512,64,0.999,0.9,0.2,0.01,1E-05,500,5.99656772613525,0
0.01,512,64,0.999,0.9,0.3,0.1,1E-07,500,6.56814932823181,0
0.01,512,64,0.999,0.9,0.3,0.001,1E-05,500,6.40224456787109,0
0.01,512,64,0.999,0.9,0.3,0.001,1E-06,500,6.25869703292847,0
0.01,512,64,0.999,0.9,0.3,0.001,1E-07,500,5.97243404388428,0
0.01,512,64,0.999,0.9,0.4,0.01,1E-06,500,6.26856112480164,0
0.01,512,64,0.999,0.9,0.5,0.1,1E-05,500,6.40676403045654,0
0.01,512,64,0.999,0.9,0.5,0.01,1E-06,500,6.81219816207886,0
0.01,512,64,0.999,0.85,0.2,0.01,1E-06,500,6.60023641586304,0
0.01,512,64,0.999,0.85,0.3,0.001,1E-06,500,6.29146289825439,0
0.01,512,128,0.9,0.95,0.1,0.001,1E-07,500,5.46048665046692,0
0.01,512,128,0.9,0.95,0.4,0.001,1E-07,500,5.03501224517822,0
0.01,512,128,0.9,0.95,0.5,0,1E-05,500,4.8920259475708,0
0.01,512,128,0.9,0.95,0.5,0.01,1E-07,500,4.93175029754639,0
0.01,512,128,0.9,0.9,0.3,0,1E-05,500,4.87572002410889,0
0.01,512,128,0.9,0.85,0.1,0.001,1E-05,500,4.86481428146362,0
0.01,512,128,0.9,0.85,0.2,0.001,1E-05,500,4.92242169380188,0
0.01,512,128,0.9,0.85,0.3,0.001,1E-06,500,5.08168792724609,0
0.01,512,128,0.95,0.95,0.1,0.1,1E-06,500,5.03186917304993,0
0.01,512,128,0.95,0.95,0.1,0.001,1E-05,500,5.18262720108032,0
0.01,512,128,0.95,0.95,0.3,0.1,1E-05,500,4.90451526641846,0
0.01,512,128,0.95,0.95,0.4,0,1E-05,500,5.03253197669983,0
0.01,512,128,0.95,0.95,0.4,0,1E-06,500,4.92183065414429,0
0.01,512,128,0.95,0.95,0.4,0.001,1E-07,500,4.93985342979431,0
0.01,512,128,0.95,0.95,0.5,0.1,1E-07,500,5.35251569747925,0
0.01,512,128,0.95,0.95,0.5,0.01,1E-05,500,5.00928902626038,0
0.01,512,128,0.95,0.9,0.1,0.01,1E-06,500,5.20257043838501,0
0.01,512,128,0.95,0.9,0.1,0.001,1E-07,500,5.11737704277039,0
0.01,512,128,0.99,0.95,0.1,0,1E-05,500,4.97535014152527,0
0.01,512,128,0.99,0.95,0.1,0.01,1E-05,500,4.77829909324646,0
0.01,512,128,0.99,0.95,0.1,0.001,1E-07,500,5.01197147369385,0
0.01,512,128,0.99,0.95,0.2,0.1,1E-07,500,4.89296412467957,0
0.01,512,128,0.99,0.95,0.2,0.01,1E-06,500,5.20024275779724,0
0.01,512,128,0.99,0.95,0.3,0,1E-05,500,5.08291435241699,0
0.01,512,128,0.99,0.95,0.3,0.01,1E-06,500,5.17210721969605,0
0.01,512,128,0.99,0.95,0.3,0.001,1E-06,500,5.18787455558777,0
0.01,512,128,0.99,0.95,0.4,0,1E-05,500,5.18216681480408,0
0.01,512,128,0.99,0.95,0.4,0.1,1E-05,500,4.98250389099121,0
0.01,512,128,0.99,0.95,0.4,0.01,1E-07,500,5.01478791236877,0
0.01,512,128,0.99,0.95,0.5,0.001,1E-07,500,5.06869316101074,0
0.01,512,128,0.99,0.9,0.1,0.01,1E-05,500,5.30691623687744,0
0.01,512,128,0.99,0.9,0.2,0.001,1E-06,500,5.03924489021301,0
0.01,512,128,0.99,0.9,0.3,0,1E-05,500,5.01108407974243,0
0.01,512,128,0.99,0.9,0.3,0.01,1E-06,500,5.57727456092835,0
0.01,512,128,0.99,0.9,0.3,0.01,1E-07,500,4.94539141654968,0
0.01,512,128,0.99,0.9,0.3,0.001,1E-05,500,5.04610705375671,0
0.01,512,128,0.99,0.9,0.3,0.001,1E-07,500,5.24100422859192,0
0.01,512,128,0.99,0.9,0.4,0,1E-07,500,4.952388048172,0
0.01,512,128,0.99,0.85,0.4,0,1E-05,500,5.27548336982727,0
0.01,512,128,0.99,0.85,0.4,0,1E-07,500,5.17258954048157,0
0.01,512,128,0.99,0.85,0.5,0.001,1E-07,500,5.15950608253479,0
0.01,512,128,0.999,0.95,0.1,0.01,1E-05,500,4.97085165977478,0
0.01,512,128,0.999,0.95,0.1,0.01,1E-06,500,4.97190546989441,0
0.01,512,128,0.999,0.95,0.1,0.001,1E-05,500,5.02359676361084,0
0.01,512,128,0.999,0.95,0.1,0.001,1E-07,500,5.23081040382385,0
0.01,512,128,0.999,0.95,0.2,0,1E-05,500,5.4978768825531,0
0.01,512,128,0.999,0.95,0.2,0,1E-06,500,4.72965741157532,0
0.01,512,128,0.999,0.95,0.2,0.1,1E-05,500,4.83013272285461,0
