Episode:1 Score:[307.47763]
Episode:2 Score:[138.87885]
Episode:3 Score:[148.26505]
Episode:4 Score:[129.37132]
Episode:5 Score:[213.84085]
Episode:6 Score:[92.08371]
Episode:7 Score:[92.31607]
Episode:8 Score:[148.19513]
Episode:9 Score:[148.07721]
Episode:10 Score:[83.12544]
Episode:11 Score:[147.99217]
Episode:12 Score:[138.75397]
Episode:13 Score:[110.846535]
Episode:14 Score:[120.37803]
Episode:15 Score:[185.4743]
Episode:16 Score:[176.0151]
Episode:17 Score:[101.86449]
Episode:18 Score:[167.30647]
Episode:19 Score:[92.498665]
Episode:20 Score:[111.040825]
Episode:21 Score:[120.32758]
Episode:22 Score:[110.813736]
Episode:23 Score:[204.47037]
Episode:24 Score:[148.3728]
Episode:25 Score:[167.01347]
Episode:26 Score:[195.2816]
Episode:27 Score:[138.77286]
Episode:28 Score:[241.59053]
Episode:29 Score:[194.92867]
Episode:30 Score:[260.448]
Episode:31 Score:[111.01414]
Episode:32 Score:[157.42328]
Episode:33 Score:[138.88307]
Episode:34 Score:[176.08568]
Episode:35 Score:[214.0036]
Episode:36 Score:[110.89436]
Episode:37 Score:[110.704475]
Episode:38 Score:[111.19327]
Episode:39 Score:[129.89928]
Episode:40 Score:[213.55495]
Episode:41 Score:[148.40508]
Episode:42 Score:[101.39268]
Episode:43 Score:[120.40627]
Episode:44 Score:[157.62122]
Episode:45 Score:[120.14249]
Episode:46 Score:[138.84007]
Episode:47 Score:[157.72395]
Episode:48 Score:[185.63925]
Episode:49 Score:[110.698715]
Episode:50 Score:[120.522]
Episode:51 Score:[223.0872]
Episode:52 Score:[138.81558]
Episode:53 Score:[101.73787]
Episode:54 Score:[120.2923]
Episode:55 Score:[251.50728]
Episode:56 Score:[129.54112]
Episode:57 Score:[120.04735]
Episode:58 Score:[222.63306]
Episode:59 Score:[157.51872]
Episode:60 Score:[111.0588]
Episode:61 Score:[176.3398]
Episode:62 Score:[157.60518]
Episode:63 Score:[139.11612]
Episode:64 Score:[204.63322]
Episode:65 Score:[223.3067]
Episode:66 Score:[223.33672]
Episode:67 Score:[120.06932]
Episode:68 Score:[129.62962]
Episode:69 Score:[129.3685]
Episode:70 Score:[186.00034]
Episode:71 Score:[185.57924]
Episode:72 Score:[194.81508]
Episode:73 Score:[325.98444]
Episode:74 Score:[139.04143]
Episode:75 Score:[241.74786]
Episode:76 Score:[120.232216]
Episode:77 Score:[148.32532]
Episode:78 Score:[176.24641]
Episode:79 Score:[101.76546]
Episode:80 Score:[157.80527]
Episode:81 Score:[101.53117]
Episode:82 Score:[166.76198]
Episode:83 Score:[101.75019]
Episode:84 Score:[232.38463]
Episode:85 Score:[138.92]
Episode:86 Score:[120.316]
Episode:87 Score:[101.85254]
Episode:88 Score:[167.0558]
Episode:89 Score:[101.76955]
Episode:90 Score:[111.08733]
Episode:91 Score:[129.6413]
Episode:92 Score:[260.85526]
Episode:93 Score:[148.55664]
Episode:94 Score:[167.21568]
Episode:95 Score:[148.31027]
Episode:96 Score:[110.920876]
Episode:97 Score:[148.62167]
Episode:98 Score:[148.42657]
Episode:99 Score:[167.30275]
Episode:100 Score:[148.41833]
Episode:101 Score:[157.97868]
Episode:102 Score:[129.46881]
Episode:103 Score:[148.15656]
Episode:104 Score:[101.46242]
Episode:105 Score:[120.52338]
Episode:106 Score:[138.9153]
Episode:107 Score:[176.28648]
Episode:108 Score:[260.4113]
Episode:109 Score:[139.33612]
Episode:110 Score:[307.37375]
Episode:111 Score:[92.37656]
Episode:112 Score:[129.45633]
Episode:113 Score:[148.45837]
Episode:114 Score:[176.6201]
Episode:115 Score:[111.07083]
Episode:116 Score:[110.66758]
Episode:117 Score:[111.20852]
Episode:118 Score:[157.57393]
Episode:119 Score:[176.03568]
Episode:120 Score:[176.75636]
Episode:121 Score:[129.85477]
Episode:122 Score:[120.41397]
Episode:123 Score:[166.84238]
Episode:124 Score:[185.47269]
Episode:125 Score:[157.62587]
Episode:126 Score:[92.43275]
Episode:127 Score:[157.62561]
Episode:128 Score:[139.19705]
Episode:129 Score:[269.77072]
Episode:130 Score:[138.601]
Episode:131 Score:[92.33735]
Episode:132 Score:[194.69206]
Episode:133 Score:[110.99762]
Episode:134 Score:[101.6536]
Episode:135 Score:[120.08368]
Episode:136 Score:[138.73701]
Episode:137 Score:[138.8093]
Episode:138 Score:[110.680626]
Episode:139 Score:[204.31404]
Episode:140 Score:[129.5875]
Episode:141 Score:[148.47226]
Episode:142 Score:[101.4595]
Episode:143 Score:[129.59802]
Episode:144 Score:[129.83902]
Episode:145 Score:[120.061035]
Episode:146 Score:[148.15875]
Episode:147 Score:[129.6543]
Episode:148 Score:[157.53723]
Episode:149 Score:[270.27682]
Episode:150 Score:[223.43309]
Episode:151 Score:[138.68086]
Episode:152 Score:[138.99118]
Episode:153 Score:[139.1865]
Episode:154 Score:[185.6004]
Episode:155 Score:[176.14708]
Episode:156 Score:[101.68044]
Episode:157 Score:[139.16295]
Episode:158 Score:[148.39983]
Episode:159 Score:[120.54108]
Episode:160 Score:[120.233246]
Episode:161 Score:[101.7538]
Episode:162 Score:[129.68097]
Episode:163 Score:[139.08582]
Episode:164 Score:[166.79823]
Episode:165 Score:[148.57709]
Episode:166 Score:[101.50807]
Episode:167 Score:[157.52856]
Episode:168 Score:[129.39885]
Episode:169 Score:[120.35212]
Episode:170 Score:[251.23099]
Episode:171 Score:[204.4242]
Episode:172 Score:[101.38454]
Episode:173 Score:[111.19015]
Episode:174 Score:[139.23582]


Episode:175 Score:[120.51276]
Episode:176 Score:[101.883286]
Episode:177 Score:[120.14173]
Episode:178 Score:[157.82751]
Episode:179 Score:[176.37595]
Episode:180 Score:[176.29884]
Episode:181 Score:[242.05278]
Episode:182 Score:[120.39239]
Episode:183 Score:[139.12915]
Episode:184 Score:[101.704216]
Episode:185 Score:[129.95966]
Episode:186 Score:[204.43869]
Episode:187 Score:[232.57118]
Episode:188 Score:[101.81023]
Episode:189 Score:[166.72765]
Episode:190 Score:[120.14708]
Episode:191 Score:[148.18983]
